,RMSE,MAE,R2,MSE
Linear Regression,2.990822340144893,2.380811635424229,0.8152177775711187,0.0008945018270309771
BPNN,3.0127801891282378,2.393717961834265,0.8124945704128881,0.0009076844468003581
Ensemble (Top 3),3.0271271608371233,2.4104364007327246,0.8107045026441607,0.0009163498847877823
Ensemble (Weighted),3.1833611811829385,2.534990277119396,0.7906606909665292,0.0010133788409862432
Ensemble (Average),3.2029163258966444,2.5508645581934473,0.7880808806524482,0.001025867299069526
SVR,3.24617225462353,2.590197621426,0.7823182214400185,0.0010537634306687612
XGBoost,3.5359565234061696,2.8099450336226512,0.741718804952483,0.0012502988535418645
Gradient Boosting,3.550859066560115,2.8247119320894254,0.7395371278467071,0.001260860011057217
Random Forest,3.942139656208516,3.1480354419157286,0.6789719611228537,0.0015540465069051798
